gpa.php|GPA Calculator|Handout|xx
http://www.thespartandaily.com/|The Spartan Daily|Miscellaneous|x
http://www.thespartandaily.com/contact/|The Spartan Daily Contact Information|Contact|x
http://www.tvradiofilmtheatre.com/|"Television, Radio, Film and Theatre Department"|Department|x
http://www.union.sjsu.edu/|Student Union|Recreation|x
http://www.union.sjsu.edu/Aquatic_Center/aquatic_center.html|Aquatic Center|Service|x
http://www.union.sjsu.edu/ec/ec.html|San Jose State Event Center|Recreation|x
http://www.union.sjsu.edu/ec/EC_Box_Office/ec_box_office.html|Event Center Box Office|Recreation|x
http://www.union.sjsu.edu/ec/EC_Sport_Club/ec_sport_club.html|Sport Club Fitness Center|Recreation|x
http://www.union.sjsu.edu/ec/Event_Center_Arena/event_center_arena.html|Event Center: Upcoming Events|Recreation|x
http://www.union.sjsu.edu/su/Bowling_Center/bowling_center.html#maincontent|Bowling Center|Recreation|x
http://www.vta.org/|Valley Transportation Authority (VTA)|Transportation|x
http://www.vta.org/ecopass/ecopass_corp/index.html|Eco Pass|Service|x
http://www.vta.org/schedules/schedules_bynumber.html#100|Light Rail Schedule|Transportation|x
http://www.vta.org/schedules/schedules_bynumber.html#102|Bus Schedule|Transportation|x
http://www.yahoo.com/|Yahoo!|Miscellaneous|x
http://www1.coe.sjsu.edu/|College of Education|College|x
https://cmshr.sjsu.edu/psp/HSJPRDF/EMPLOYEE/HSJPRD/c/COMMUNITY_ACCESS.CLASS_SEARCH.GBL?FolderPath=PORTAL_ROOT_OBJECT.PA_HC_CLASS_SEARCH|How to Search for Classes|How-to|x
https://cmshr.sjsu.edu/psp/HSJPRDF/EMPLOYEE/HSJPRD/c/CSU_SQA.CSU_SQA.GBL?FolderPath=PORTAL_ROOT_OBJECT.CSU_SA_BASELINE.CSU_SA_STUDENT_RECORDS.CSU_SA_QUICK_ADMIT.CSU_SA_SQA_USE.CSU_SQA_GBL|Open University Registration|Form|x
https://sjsuone.sjsu.edu/sjsuphonebook/|Campus Directory|Contact|x
https://sjsuone.sjsu.edu/sjsuphonebook/Default.aspx|San Jose State Phone Book|Contact|x
https://sjsuone.sjsu.edu/sjsuphonebook/Offices.aspx|"Faculty, Staff and Department Directory"|Contact|x
https://testing.sjsu.edu/|Testing Center|Test|x
https://testing.sjsu.edu/teptelm.html|English Placement Test and Entry Level Mathematics Information|Test|x
https://testing.sjsu.edu/teptelminfo.html|English Placement Test and Entry Level Mathematics Exemption|Test|x
https://testing.sjsu.edu/twst.html|Writing Skills Test (WST) Information|Policy|x
https://www.nmnathletics.com/ViewArticle.dbml?DB_OEM_ID=5600&KEY=&ATCLID=201503&SPID=2807&SPSID=35588|Academic Advising: Athletics|Advising|x
https://www.sccfcu.org/asp/home.asp|Santa Clara County Credit Union|Finance|x
https://www.usecu.org/home/home|USE Credit Union|Finance|x
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
 |||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
 |||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
 |||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
 |||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
 |||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
 |||
|||
|||
|||
|||
|||
 |||
|||
|||
|||
|||
 |||
